tétel;esemény;válasz;kép#1;kép#2;kép#3
[10] Herczeg_Ferenc_Az_Élet_kapuja;Agostino Chigi;A művészek pártfogója és akit a leggazdagabbnak tartanak Rómában.;Herczeg_Ferenc_Az_Élet_kapuja_Agostino Chigi_1.jpg
[10] Herczeg_Ferenc_Az_Élet_kapuja;Cardulo;Szentéletű pap, tudós és diplomata, aki igyekezett a világi tudását is gyarapítani.;Herczeg_Ferenc_Az_Élet_kapuja_Cardulo_1.jfif
[10] Herczeg_Ferenc_Az_Élet_kapuja;Vico Hannibal;Nápolyi kalandor, köpönyegforgató macsó, aki a barátságait úgy váltogatja, ahogy az érdekei kívánják.;Herczeg_Ferenc_Az_Élet_kapuja_Vico Hannibal_1.jfif
[10] Herczeg_Ferenc_Az_Élet_kapuja;II. Julius;Ő maga semmihez sem ért az öntelt magamutogatáson kívül, ezért művészekre bízza, hogy naggyá tegyék a kereszténység központját, Rómát.;Herczeg_Ferenc_Az_Élet_kapuja_II. Julius_1.jfif;Herczeg_Ferenc_Az_Élet_kapuja_II. Julius_2.jfif;Herczeg_Ferenc_Az_Élet_kapuja_II. Julius_3.jfif
[10] Herczeg_Ferenc_Az_Élet_kapujac;Medici Giovanni;Szereti szórni a pénzt és más magas rangú emberekhez hasonlóan ő is szeret "pogány" áldozatokat bemutatni a régi római isteneknek.;Herczeg_Ferenc_Az_Élet_kapujac_Medici Giovanni_1.jpg
[11] Csokonai_Mihály_stílusszintézisek;Estve;Klasszicizmus (Rousseau);Csokonai_Mihály_stílusszintézisek_Estve_1.jfif;Csokonai_Mihály_stílusszintézisek_Estve_2.jfif
[11] Csokonai_Mihály_stílusszintézisek;Tartózkodó Kérelem;Rokokó;Csokonai_Vitéz_Mihály_stílusszintézisek_rokokó1.jpg
[11] Csokonai_Mihály_stílusszintézisek;A Reményhez;Szentimentalizmus;Csokonai_Vitéz_Mihály_stílusszintézisek_szentimentalizmus1.jpg
[11] Csokonai_Mihály_stílusszintézisek;Szegény Zsuzsi, a táborozáskor;Népiesség;Csokonai_Vitéz_Mihály_stílusszintézisek_népiesség1.jpg
[11] Csokonai_Mihály_stílusszintézisek;Konstancinápoly;Klasszicizmus (Voltaire);Csokonai_Mihály_stílusszintézisek_Konstancinápoly_1.jpg;Csokonai_Vitéz_Mihály_stílusszintézisek_konstancinápoly2.jpg;Csokonai_Vitéz_Mihály_stílusszintézisek_klasszicizmus1.jpg
[ 4] Kosztolányi_Dezső_Számadás;Műfaja filozofikus vers, típusa szerint őn-és létértelmező;Hajnali részegség;Kosztolányi_Dezső_Számadás_Hanali_Részegség3.jpg
[ 4] Kosztolányi_Dezső_Számadás;Műfaja elégikus óda, temetési beszéd, prédikáció;Halotti beszédKosztolányi_Dezső_Számadás_Halotti_beszéd3.jpg
[ 4] Kosztolányi_Dezső_Számadás;Témája egy káprázatos látomás, amely ráébreszti a költőt az élet szépségeire és értelmére;Hajnali részegség;Kosztolányi_Dezső_Számadás_Hanali_Részegség2.jpg;Kosztolányi_Dezső_Számadás_Hanali_Részegség1.jpg;Kosztolányi_Dezső_Számadás_Hanali_Részegség
[ 4] Kosztolányi_Dezső_Számadás;A mű mondanivalója, hogy hogy mindannyian halandóak vagyunk, minden ember egyedi példány és minden emberi élet egyszeri, megismételhetetlen.;Halotti beszéd;Kosztolányi_Dezső_Számadás_Halotti_Beszéd_1.jpg
[ 4] Kosztolányi_Dezső_Számadás;Ez a vers a Számadás című versciklus darabjs;Mindkettő;Kosztolányi_Dezső_Számadás_Számadás_kötet.jpg